Population,Crossover,Mutation,Best_Vehicles,Best_Cost
100,0.7,0.01,19.0,2512.24804754
100,0.7,0.05,20.0,2480.09235678
100,0.7,0.1,19.0,2474.70980505
100,0.85,0.01,19.0,2272.27073653
100,0.85,0.05,19.0,2410.43099029
100,0.85,0.1,19.0,2497.88584255
100,0.9,0.01,20.0,2311.37832556
100,0.9,0.05,20.0,2346.96405981
100,0.9,0.1,19.0,2280.81815865
300,0.7,0.01,19.0,2460.14837841
300,0.7,0.05,19.0,2439.90631101
300,0.7,0.1,20.0,2453.35859752
300,0.85,0.01,19.0,2325.84577131
300,0.85,0.05,19.0,2273.24452243
300,0.85,0.1,19.0,2363.2180276
300,0.9,0.01,19.0,2359.38401
300,0.9,0.05,19.0,2274.71729675
300,0.9,0.1,19.0,2263.54971462
500,0.7,0.01,19.0,2334.30136795
500,0.7,0.05,19.0,2423.67232135
500,0.7,0.1,19.0,2412.70835752
500,0.85,0.01,19.0,2283.14775764
500,0.85,0.05,19.0,2272.19844212
500,0.85,0.1,19.0,2252.14206785
500,0.9,0.01,19.0,2174.03460936
500,0.9,0.05,19.0,2234.18303417
500,0.9,0.1,19.0,2334.65080646
