Config_ID,Population,Crossover,Mutation,Generations,Best_Vehicles,Best_Cost,Execution_Time_s
Config 1,100,0.85,0.01,100,20.0,2635.56028261,1.57
Config 1,100,0.85,0.01,200,19.0,2505.61343436,2.5
Config 1,100,0.85,0.01,300,19.0,2412.55312758,3.47
Config 1,100,0.85,0.01,400,20.0,2128.39779402,4.61
Config 1,100,0.85,0.01,500,19.0,2145.62166788,5.76
Config 2,200,0.9,0.1,100,19.0,2516.16633103,3.81
Config 2,200,0.9,0.1,200,19.0,2395.96230233,6.43
Config 2,200,0.9,0.1,300,19.0,2277.08289907,9.25
Config 2,200,0.9,0.1,400,19.0,2164.06570286,11.67
Config 2,200,0.9,0.1,500,20.0,1948.99436519,15.86
Config 3,300,0.9,0.01,100,20.0,2484.14758702,7.76
Config 3,300,0.9,0.01,200,19.0,2294.90476406,12.37
Config 3,300,0.9,0.01,300,19.0,2252.04721307,17.12
Config 3,300,0.9,0.01,400,19.0,1985.5181613,25.27
Config 3,300,0.9,0.01,500,19.0,2054.92413364,31.26
